GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
AGR2,1973.205614,0.331735119,0.137676331,2.409529052,0.015973124,0.311610282,OK
AGR3,0.130373766,-1.622020315,4.07370695,-0.398168139,0.69050625,NaN,Low
AGRN,6481.273814,-0.107358044,0.132949857,-0.807507782,0.419373993,0.72532805,OK
AGRP,0.276901135,1.215400459,3.999596704,0.303880753,0.761218741,NaN,Low
AGT,2.912564643,-0.482031923,1.24320141,-0.387734376,0.698212614,NaN,Low
AGTPBP1,469.4889665,0.377518354,0.210194325,1.79604446,0.072487446,0.428878271,OK
AGTR1,25.00292795,0.462912044,0.4493322,1.03022228,0.302905673,0.642910987,OK
AGTR2,0.311437026,-1.756440669,4.069089191,-0.431654502,0.66599254,NaN,Low
AGTRAP,850.6361506,-0.168197213,0.145335845,-1.157300275,0.247149701,0.598816546,OK
AGXT,0,NaN,NaN,NaN,NaN,NaN,Low
AGXT2,0,NaN,NaN,NaN,NaN,NaN,Low
AHCTF1,1425.104461,0.40738931,0.157432524,2.587707412,0.009661701,0.262220081,OK
AHCTF1P1,28.0447943,0.197179235,0.417459098,0.472331866,0.636689928,0.85104533,OK
AHCY,5894.284084,-0.168860664,0.126842689,-1.331260516,0.183103305,0.545702364,OK
AHCYL1,2471.216226,0.127131749,0.120361179,1.05625211,0.290853049,0.63517379,OK
AHCYL2,417.7764322,0.182178254,0.164153821,1.109802091,0.267084318,0.614826836,OK
AHDC1,270.5284908,-0.231790797,0.178886877,-1.295739524,0.195065239,0.556850109,OK
AHI1,361.209502,0.462459455,0.21764954,2.12478949,0.033604182,0.35157178,OK
AHNAK,11307.96595,-0.227135295,0.116892182,-1.94311793,0.052001911,0.397280593,OK
AHNAK2,11372.55512,-0.512013356,0.119244447,-4.293812981,1.76E-05,0.003188044,OK
AHR,567.1056572,0.303834265,0.162692645,1.86753534,0.061826867,0.412037912,OK
AHRR,47.66662719,0.088072213,0.327141031,0.269217874,0.787762026,0.922704312,OK
AHSA1,3971.117593,0.052480129,0.113211081,0.463560002,0.642963017,0.854313733,OK
AHSA2P,1791.323392,-0.041949744,0.116445688,-0.360251587,0.718659,0.891723562,OK
AHSG,4.827895676,0.492558508,1.028464872,0.478925942,0.631991315,NaN,Low
AHSP,0,NaN,NaN,NaN,NaN,NaN,Low
AICDA,5.023186432,0.382062862,0.943785578,0.40481956,0.68561015,NaN,Low
AIDA,1444.354859,0.342223547,0.191801382,1.784260069,0.074381416,0.429728296,OK
AIF1,0,NaN,NaN,NaN,NaN,NaN,Low
AIF1L,67.50746746,0.097752987,0.276080241,0.354074549,0.723283015,0.893462989,OK
AIFM1,1944.662214,0.019070643,0.125456226,0.152010336,0.879178783,0.955852429,OK
AIFM2,1311.407002,-0.280112789,0.1396086,-2.006414998,0.044811989,0.377285358,OK
AIFM3,45.566364,-0.252752361,0.365939072,-0.690695201,0.489757106,0.768709382,OK
AIG1,264.1392173,0.068697358,0.176612323,0.388972621,0.6972964,0.881674857,OK
AIM2,0,NaN,NaN,NaN,NaN,NaN,Low
AIMP1,849.5959274,0.354533996,0.158589411,2.235546455,0.025381495,0.334761599,OK
AIMP2,1028.020335,-0.020778459,0.123950437,-0.167635219,0.866870263,0.951840026,OK
AIP,780.4228912,-0.116198924,0.146549107,-0.792900933,0.427835544,0.730319233,OK
AIPL1,0,NaN,NaN,NaN,NaN,NaN,Low
AIRE,0,NaN,NaN,NaN,NaN,NaN,Low
AIRN,0,NaN,NaN,NaN,NaN,NaN,Low
AJAP1,0,NaN,NaN,NaN,NaN,NaN,Low
AJM1,74.38431885,-0.704453436,0.273972031,-2.571260408,0.01013291,0.266267496,OK
AJUBA,2199.006925,0.159579786,0.115523619,1.381360691,0.167168086,0.530495646,OK
AK1,529.1288966,-0.166956584,0.16233716,-1.02845574,0.3037355,0.64357943,OK
AK2,2195.70288,-0.091665214,0.119630073,-0.766238887,0.443534174,0.740892545,OK
AK3,1051.040606,0.446128348,0.157783292,2.827475222,0.004691665,0.202844694,OK
AK4,796.0298916,0.348577409,0.151265711,2.304404658,0.021199939,0.322933188,OK
AK5,123.5879413,-0.013073613,0.217883632,-0.060002732,0.952153458,0.981864177,OK
AK6,445.3684145,0.310178377,0.209852914,1.478075145,0.139387666,0.504821411,OK
AK7,198.3129324,0.357472813,0.191490727,1.866789162,0.061931037,0.412037912,OK
AK8,13.57450175,0.139929892,0.603217573,0.231972506,0.816559368,0.932785132,OK
